Station,lon,lat
CL 80 con KR 29,-74.066599,4.672513
Parque Canal del Río Negro,-74.061,4.678
NQS con CL 80,-74.066886,4.673716
Parque La Araña,-74.06419,4.664737
Est. Calle 75,-74.07,4.671
KR 13a con CL 93,-74.05,4.676
KR 27B con CL 74,-74.068,4.667
Est. Polo,-74.065,4.67
DG 92 con CL 95,-74.052,4.682
CL 75 con KR 20A,-74.062,4.663
Carrera 16A con Calle 76,-74.06,4.664
U. Sergio Arboleda,-74.058,4.662
Unilago,-74.06,4.665
Parque Castellana 2,-74.060792,4.685823
Parque La Castellana,-74.06,4.682
Est. Calle 100,-74.058,4.686
Parque Chicó Norte,-74.055,4.684
Parroquia Cristo Rey,-74.050317,4.684588
TV 22 con CL 98,-74.055451,4.686035
DG 92 con CL 94,-74.055367,4.68131
Parque Chicó Reservado II,-74.047,4.681
PARQUE TORCOROMA,-74.032,4.7
CL 126A con KR 9,-74.033,4.702
CL 126 con KR 7,-74.029,4.701
CL 123 con KR 9,-74.033,4.699
Parque Nueva Urb. Santa Bárbara,-74.048157,4.699828
Fundación Santa Fe 1,-74.032325,4.69564
Fundación Santa Fe-2,-74.033,4.696
KR 7 con CL 118,-74.033,4.695
Hacienda Santa Bárbara,-74.032,4.693
Parque Hacienda Santa Bárbara,-74.032,4.691
Parque Urb. San Martín,-74.066,4.676
Liceo Patria,-74.038,4.686
CL 106 con KR 11,-74.04,4.688
Carrera 14,-74.046,4.686
Parque Chico Alto,-74.044,4.69
KR 7 con CL 18,-74.072,4.604
KR 8A con CL 97A,-74.041,4.679
Parque Santa Barbara City Hall,-74.038,4.691
Parque Molinos Norte,-74.036541,4.692501
KR 9 con CL 116,-74.035,4.694
Parque Carrera 13A,-74.041,4.693
Parque Santa Paula,-74.043,4.693
Carrera 13A,-74.042727,4.690649
KR 15 con CL 112,-74.044,4.694
AK 24 con CL 67,-74.070198,4.658348
KRA 13A CL 31 (ANTIGUO301),-74.070247,4.61861
CL 120 con KR 9A,-74.034,4.698
"SANTA BARBARA CENTRAL (ACOPIO MATERIAL, Se logra instalar en diciembre)",-74.035,4.699
Parque Multicentro,-74.036,4.702
Calle 126,-74.033809,4.702954
AC 116 con KR 16,-74.045112,4.69716
