Station,lat,lon
23rd & Chestnut,39.95269,-75.17779
2nd & Snyder,39.9216,-75.15
52nd & Chestnut,39.95828,-75.22424
Saunders & Pearl,39.96016,-75.19884
2nd & Brown,39.96304,-75.14099
43rd & Powelton,39.9586,-75.2081
8th & Spruce,39.94571,-75.15508
Powelton & Lancaster,39.95957,-75.19633
Water & Mifflin,39.9237,-75.14701
19th & Oregon,39.918,-75.1796
53rd & Baltimore,39.9476,-75.22946
50th & Haverford,39.96405,-75.22048
Ridge & Ferry,40.00773,-75.19196
York & Aramingo,39.97576,-75.12157
12th & Fairmount,39.96569,-75.15679
20th & Berks,39.98306,-75.16738
22nd & Sedgley,39.99301,-75.1681
13th & Mifflin,39.9265,-75.1668
50th & Woodland,39.93968,-75.21362
Lindbergh & Wheeler,39.9323,-75.2162
10th & Nevada,39.98628,-75.14925
24th & Seybert,39.97595,-75.17509
Midvale & Cresson,40.01112,-75.19287
5th & Willow,39.95946,-75.14745
6th & Brown,39.96409,-75.14769
49th & Chester,39.94367,-75.21606
Ridge & Heritage,40.01022,-75.197
5th & Wolf,39.92,-75.1562
18th & Chestnut,39.95174,-75.17063
12th & Chestnut,39.95028,-75.16027
16th & Chestnut,39.95134,-75.16758
18th & Vine,39.95821,-75.16901
42nd & Woodland,39.94717,-75.20691
9th & Lombard,39.94332,-75.15698
Broad & Cherry,39.95511,-75.16287
18th & Walnut,39.95029,-75.17126
41st & Chestnut,39.9559,-75.2053
7th & South,39.94234,-75.15399
22nd & Lehigh,39.99569,-75.1671
28th & Lehigh,39.99683,-75.17761
27th & Clearfield,40.0028,-75.174
12th & Carpenter,39.93866,-75.16351
"52nd Street Station, MFL",39.96004,-75.2244
Oxford & Glenwood,39.98024,-75.18651
10th & Oregon,39.9158,-75.1643
Front & Queen,39.93682,-75.14492
48th & Woodland,39.94235,-75.21138
16th & Wolf,39.92255,-75.17337
30th & Reed,39.93633,-75.19447
City Hall South,39.95182,-75.16395
Penn Treaty Park,39.96672,-75.12964
Broad & Master,39.9746,-75.15917
20th & Cuthbert,39.95485,-75.17298
7th & Passyunk,39.93638,-75.15526
Manayunk Bridge,40.02796,-75.2277
Kelly Drive - Strawberry Mansion Bridge,39.99484,-75.19242
Cedar & Norris,39.9768,-75.12764
M.L.K. Drive - Strawberry Mansion Bridge,39.99198,-75.19944
York & Gaul,39.97759,-75.12442
Kelly Drive Grandstand,39.98798,-75.1995
Cresson & Levering,40.02651,-75.22445
Municipal Services Building,39.95376,-75.16474
Girard & Palmer,39.97116,-75.12813
32nd & Allegheny,40.00537,-75.18143
18th & JFK Curbside,39.9541,-75.16965
7th & Dickinson,39.9302,-75.15636
Main & Shurs,40.02237,-75.218
36th & Filbert,39.95719,-75.19388
6th & Master,39.97318,-75.14612
54th & Cedar,39.95098,-75.23035
Pencoyd Bridge,40.0163,-75.21241
27th & Pennsylvania,39.96906,-75.18169
York & Trenton,39.98131,-75.12732
22nd & Spring Garden,39.9639,-75.17385
21st & Washington,39.93906,-75.17824
56th & Chestnut,39.95961,-75.23354
5th & Spring Garden,39.9617,-75.14667
6th & Chestnut,39.94883,-75.15097
9th & Race,39.95484,-75.15449
27th & Master,39.97719,-75.17952
