Station,,lat,lon
"All Saints' Road, Portobello",,51.519042,-0.204764
"Rainville Road, Hammersmith",,51.483732,-0.223852
"Buckingham Gate, Westminster",,51.498865,-0.137424
"Richmond Way, Shepherd's Bush",,51.500353,-0.217515
"Peterborough Road, Sands End",,51.46904,-0.196274
"World's End Place, West Chelsea",,51.481805,-0.180274
"St. Mark's Road, North Kensington",,51.51687,-0.213872
"Thorndike Close, West Chelsea",,51.480898,-0.183853
"Evesham Street, Avondale",,51.511486,-0.21819
"Simpson Street, Clapham Junction",,51.470847,-0.170703
"Ashmole Estate, Oval",,51.482678,-0.117661
"Crabtree Lane, Fulham",,51.482944,-0.219346
"Broomhouse Lane, Parsons Green",,51.468418,-0.199135
"Blythe Road West, Shepherd's Bush",,51.49968,-0.221791
"Ethelburga Estate, Battersea Park",,51.477292,-0.164786
"Blackfriars Station, St. Paul's",,51.511934,-0.103078
"West Kensington Station, West Kensington",,51.49087,-0.206029
"All Saints Church, Portobello",,51.51632,-0.202608
"Phene Street, Chelsea",,51.484984,-0.167919
"Clarendon Road, Avondale",,51.51323,-0.211593
"Austin Road, Battersea Park",,51.474376,-0.155442
"Smugglers Way, Wandsworth",,51.461083,-0.191722
"Harris Academy, Bermondsey",,51.492668,-0.07235
"Shepherd's Bush Road North, Shepherd's Bush",,51.501594,-0.222293
"Ravenscourt Park Station, Hammersmith",,51.494223,-0.236769
"Teversham Lane, Stockwell",,51.476149,-0.123258
"Ashley Crescent, Battersea",,51.467185,-0.152248
"Parsons Green Station, Parsons Green",,51.475089,-0.201968
"Hibbert Street, Battersea",,51.46517,-0.180389
"Carnegie Street, King's Cross",,51.535467,-0.116191
"Usk Road, Clapham Junction",,51.463489,-0.182126
"Hartington Road, Stockwell",,51.47787,-0.126874
"Heath Road, Battersea",,51.468669,-0.146544
"Esmond Street, Putney",,51.462312,-0.211468
"Orbel Street, Battersea",,51.474535,-0.17021
"Westbridge Road, Battersea",,51.477684,-0.170329
"Bishop's Avenue, Fulham",,51.473036,-0.214749
"Crisp Road, Hammersmith",,51.488108,-0.226606
"Dorothy Road, Clapham Junction",,51.465064,-0.16375
"Neville Gill Close, Wandsworth",,51.454752,-0.195197
"Osiers Road, Wandsworth",,51.46067,-0.198735
"Beryl Road, Hammersmith",,51.488144,-0.222456
"Clements Road, Bermondsey",,51.4954,-0.061698
"Northfields, Wandsworth",,51.460951,-0.200667
"River Street , Clerkenwell",,51.529163,-0.10997
"Phillimore Gardens, Kensington",,51.499606,-0.197574
"Christopher Street, Liverpool Street",,51.521283,-0.084605
"St. Chad's Street, King's Cross",,51.530059,-0.120973
"Sedding Street, Sloane Square",,51.49313,-0.156876
"Broadcasting House, Marylebone",,51.518117,-0.144228
"Charlbert Street, St. John's Wood",,51.5343,-0.168074
"Maida Vale, Maida Vale",,51.529857,-0.183486
"New Globe Walk, Bankside",,51.507385,-0.09644
"Park Street, Bankside",,51.505974,-0.092754
"Brunswick Square, Bloomsbury",,51.523951,-0.122502
"Malet Street, Bloomsbury",,51.52168,-0.130431
"Scala Street, Fitzrovia",,51.519914,-0.136039
"Belgrove Street , King's Cross",,51.529943,-0.123616
"Great Russell Street, Bloomsbury",,51.517727,-0.127854
"Cartwright Gardens , Bloomsbury",,51.526357,-0.125979
"Hatton Wall, Holborn",,51.521661,-0.109006
"Drury Lane, Covent Garden",,51.51477,-0.122219
"Taviton Street, Bloomsbury",,51.52505,-0.131161
"Drummond Street , Euston",,51.527326,-0.136052
"Lansdowne Drive, Hackney Central",,51.539834,-0.062806
"Northington Street , Holborn",,51.522264,-0.114079
"Red Lion Square, Holborn",,51.519435,-0.119123
"British Museum, Bloomsbury",,51.51908,-0.124678
"Doric Way , Somers Town",,51.528833,-0.13225
"Ampton Street , Clerkenwell",,51.52728,-0.118295
"Bouverie Street, Temple",,51.513821,-0.107927
"Bolsover Street, Fitzrovia",,51.523518,-0.143613
"Hereford Road, Bayswater",,51.513735,-0.193487
"Windsor Terrace, Hoxton",,51.529154,-0.093421
"Fanshaw Street, Hoxton",,51.529537,-0.083353
"Leonard Circus , Shoreditch",,51.524696,-0.084439
"Central House, Aldgate",,51.515231,-0.07015
"Pancras Road, King's Cross",,51.534123,-0.129386
"De Vere Gardens, Kensington",,51.501737,-0.18498
"Penywern Road, Earl's Court",,51.491593,-0.192369
"Abingdon Villas, Kensington",,51.497387,-0.197245
"Shoreditch High Street, Shoreditch",,51.526377,-0.07813
"Commercial Street, Shoreditch",,51.52127,-0.075578
"Pindar Street, Liverpool Street",,51.520955,-0.083493
"Wenlock Road , Hoxton",,51.530991,-0.093903
"Crawford Street, Marylebone",,51.52026,-0.157183
"Bruton Street, Mayfair",,51.510736,-0.144165
"Boston Place, Marylebone",,51.522511,-0.162298
"Nesham Street, Wapping",,51.507131,-0.06691
"Warwick Avenue Station, Maida Vale",,51.523344,-0.183846
"Godliman Street, St. Paul's",,51.512484,-0.099141
"Curzon Street, Mayfair",,51.507069,-0.145904
"East Road, Hoxton",,51.528673,-0.087459
"Finsbury Library , Finsbury",,51.526717,-0.104298
"Roscoe Street, St. Luke's",,51.522954,-0.094934
"Grafton Street, Mayfair",,51.509992,-0.143495
"Golden Lane, Barbican",,51.521747,-0.094475
"Finsbury Circus, Liverpool Street",,51.517075,-0.086685
"Paddington Street, Marylebone",,51.520583,-0.154701
"Guilford Street , Bloomsbury",,51.523346,-0.120202
"New Inn Yard, Shoreditch",,51.524526,-0.079248
"Lisson Grove, St. John's Wood",,51.526448,-0.17219
"Great Dover Street, The Borough",,51.497382,-0.089446
"Cotton Garden Estate, Kennington",,51.490757,-0.106323
"Murray Grove , Hoxton",,51.53089,-0.089782
"William IV Street, Strand",,51.509462,-0.124749
"Gower Place , Euston",,51.525227,-0.135188
"Holborn Circus, Holborn",,51.51795,-0.108657
"Hatton Garden, Holborn",,51.518825,-0.108028
"Theobald's Road , Holborn",,51.520596,-0.116688
"Euston Road, Euston",,51.526236,-0.134407
"Calshot Street , King's Cross",,51.53136,-0.117069
"Newgate Street , St. Paul's",,51.515418,-0.09885
"Farringdon Lane, Clerkenwell",,51.52352,-0.10834
"Old Street Station, St. Luke's",,51.52548,-0.089659
"Vauxhall Cross, Vauxhall",,51.485917,-0.124469
"Torrens Street, Angel",,51.532199,-0.10548
