Station,,lat,lon
"Southern Grove, Bow",,51.523538,-0.030556
"Cantrell Road, Bow",,51.521564,-0.022694
"Lindfield Street, Poplar",,51.513757,-0.020467
"Mostyn Grove, Bow",,51.530535,-0.025492
"Hewison Street, Old Ford",,51.533283,-0.028155
"Malmesbury Road, Bow",,51.529452,-0.027616
"Millharbour, Millwall",,51.496137,-0.019355
"Gascoyne Road, Victoria Park",,51.541515,-0.038557
"Lightermans Road, Millwall",,51.499041,-0.020157
"Stebondale Street, Cubitt Town",,51.489096,-0.009205
"Spindrift Avenue, Millwall",,51.49109,-0.018716
"Stepney Green Station, Stepney",,51.521889,-0.04667
"Pott Street, Bethnal Green",,51.527152,-0.058005
"Flamborough Street, Limehouse",,51.512871,-0.038986
"Saunders Ness Road, Cubitt Town",,51.487129,-0.009001
"Exhibition Road Museums 2, South Kensington",,51.495947,-0.173689
"Albert Gardens, Stepney",,51.51328,-0.047784
"Bromley High Street, Bow",,51.528828,-0.013258
"Old Ford Road, Bethnal Green",,51.531127,-0.048017
"Granby Street, Shoreditch",,51.525645,-0.069543
"Canton Street, Poplar",,51.511811,-0.025626
"Reardon Street, Wapping",,51.506946,-0.058681
"Pennington Street, Wapping",,51.508622,-0.065006
"Queen Mary's, Mile End",,51.522507,-0.041378
"Maplin Street, Mile End",,51.525501,-0.032267
"South Quay East, Canary Wharf",,51.50196,-0.016251
"Bow Church Station, Bow",,51.528169,-0.018703
"Devons Road, Bow",,51.52512,-0.015578
"Merchant Street, Bow",,51.526578,-0.027581
"Bow Road Station, Bow",,51.527058,-0.025296
"Furze Green, Bow",,51.519265,-0.021345
"Ansell House, Stepney",,51.520019,-0.05438
"Cephas Street, Bethnal Green",,51.522561,-0.054883
"Bonner Gate, Victoria Park",,51.53341,-0.049591
"Cleveland Way, Stepney",,51.520893,-0.051394
"St. John's Park, Cubitt Town",,51.496454,-0.009506
"Ackroyd Drive, Bow",,51.520398,-0.026768
"Bell Lane, Liverpool Street",,51.517475,-0.075855
"Clarkson Street, Bethnal Green",,51.528692,-0.059091
"Fournier Street, Whitechapel",,51.519362,-0.074431
"Fore Street, Guildhall",,51.517842,-0.090075
"Westferry DLR, Limehouse",,51.509303,-0.025996
"Sutton Street, Shadwell",,51.511066,-0.053558
"Pritchard's Road, Bethnal Green",,51.532091,-0.06142
"Watney Market, Stepney",,51.514222,-0.055656
"Portman Square, Marylebone",,51.516204,-0.155525
"Tallis Street, Temple",,51.511891,-0.107349
"Hurlingham Park, Parsons Green",,51.470131,-0.20464
"Little Brook Green, Brook Green",,51.496664,-0.223868
"Abyssinia Close, Clapham Junction",,51.460333,-0.167029
"Limburg Road, Clapham Junction",,51.461923,-0.165297
"Houndsditch, Aldgate",,51.514449,-0.077178
"Imperial Wharf Station, Sands End",,51.474665,-0.183165
"Victoria & Albert Museum, South Kensington",,51.495898,-0.173009
"Halford Road, West Kensington",,51.483911,-0.197609
"Monier Road, Hackney Wick",,51.540311,-0.02163
"East Village, Queen Elizabeth Olympic Park",,51.546326,-0.009935
"Aquatic Centre, Queen Elizabeth Olympic Park",,51.54094,-0.01051
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",,51.549369,-0.015717
"Timber Lodge, Queen Elizabeth Olympic Park",,51.546805,-0.014691
"Copper Box Arena, Queen Elizabeth Olympic Park",,51.544909,-0.020542
"Podium, Queen Elizabeth Olympic Park",,51.538718,-0.011889
"Stratford Station, Stratford",,51.541793,-0.00481
"Blackfriars Road, Southwark",,51.505461,-0.10454
"Cromer Street, Bloomsbury",,51.528279,-0.119558
"Victoria Rise, Clapham Common",,51.461376,-0.147804
"Euston Square Gardens, Euston",,51.527068,-0.131861
"Coram Street, Bloomsbury",,51.524,-0.126409
"Ossulston Street, Somers Town",,51.5293,-0.128279
"Birkenhead Street, King's Cross",,51.530199,-0.122299
"Kings Gate House, Westminster",,51.497698,-0.137598
"Sopwith Way, Battersea Park",,51.481121,-0.149035
"Lavington Street, Bankside",,51.505224,-0.098031
"Albert Square, Stockwell",,51.47659,-0.118256
"Southwark Street, Bankside",,51.505409,-0.098341
"Good's Way, King's Cross",,51.534667,-0.125078
"The Metropolitan, Portobello",,51.520509,-0.200804
"Handyside Street, King's Cross",,51.53724,-0.124807
"Bevington Road West, North Kensington",,51.5212,-0.208888
"Gauden Road, Clapham",,51.464995,-0.130908
"Lincoln's Inn Fields, Holborn",,51.516277,-0.118272
"Tate Modern, Bankside",,51.506725,-0.098807
"Westferry Circus, Canary Wharf",,51.505703,-0.027772
"Here East North, Queen Elizabeth Olympic Park",,51.548731,-0.022606
"New Spring Gardens Walk, Vauxhall",,51.487807,-0.122759
"Clapham Road, Lingham Street, Stockwell",,51.471433,-0.12367
"Lambeth Palace Road, Waterloo",,51.500089,-0.116628
"Here East South, Queen Elizabeth Olympic Park",,51.546532,-0.020597
"Riverlight South, Nine Elms",,51.481335,-0.138212
"Westminster Pier, Westminster",,51.501513,-0.123823
"Belvedere Road 2, South Bank",,51.50621,-0.114842
"Victory Place, Walworth",,51.492807,-0.091938
"Battersea Power Station, Battersea Park",,51.483507,-0.147714
"Allington Street, Victoria",,51.496863,-0.142943
"Cranmer Road, Stockwell",,51.479601,-0.111471
"Normandy Road, Stockwell",,51.473874,-0.11258
"Wynne Road, Stockwell",,51.469217,-0.112686
"Sidney Road, Stockwell",,51.469202,-0.119022
"St John's Crescent, Brixton",,51.466232,-0.113179
"Ferndale Road, Brixton",,51.464019,-0.115781
"Saltoun Road, Brixton",,51.460232,-0.115375
"Gas Holders, Battersea Park",,51.477966,-0.147857
"Farringdon Street, Holborn",,51.516785,-0.104947
"York Way, Kings Cross",,51.541596,-0.125441
"Fore Street Avenue, Guildhall",,51.518093,-0.091401
"Sea Containers, South Bank",,51.508033,-0.106823
"George Row, Bermondsey",,51.498585,-0.068981
"Tower Wharf, Bermondsey",,51.500845,-0.074704
"Temple Gardens, Temple",,51.510981,-0.108322
"Canada Water Station, Rotherhithe",,51.498439,-0.04915
"Bermondsey Station, Bermondsey",,51.497995,-0.063471
"Burgess Park Albany Road, Walworth",,51.48224,-0.094284
"South Bermondsey Station, Bermondsey",,51.488067,-0.057774
"Brandon Street, Walworth",,51.489102,-0.091548
"The Blue, Bermondsey",,51.492221,-0.062513
"Seville Street, Knightsbridge",,51.501855,-0.159237
"Eccleston Place, Victoria",,51.49395,-0.147624
"Argyll Road, Kensington",,51.500401,-0.195455
"Porchester Place, Paddington",,51.514746,-0.165164
"Hardwick Street, Clerkenwell",,51.527842,-0.108068
"Collingham Gardens, Earl's Court",,51.491615,-0.186753
"Sumner Place, South Kensington",,51.491211,-0.173715
"Waterloo Road, South Bank",,51.50486,-0.113001
"Strand, Strand",,51.512582,-0.115057
"Worship Street, Shoreditch",,51.521668,-0.079608
"Gloucester Terrace, Bayswater",,51.517919,-0.188098
"Ashley Place, Victoria",,51.49616,-0.140947
"Warwick Square, Pimlico",,51.489856,-0.141923
"North Audley Street, Mayfair",,51.512911,-0.153645
"Belgrave Square, Belgravia",,51.499412,-0.152317
"Bell Street , Marylebone",,51.522029,-0.165842
"Riverlight North, Nine Elms",,51.482362,-0.136123
"Portland Place, Marylebone",,51.520715,-0.145211
"Alderney Street, Pimlico",,51.488057,-0.140741
"South Wharf Road, Paddington",,51.517335,-0.17581
"Queen's Gate (South), South Kensington",,51.492479,-0.178433
"Nutford Place, Marylebone",,51.516517,-0.164393
"Claremont Square, Angel",,51.531666,-0.109914
"Rampayne Street, Pimlico",,51.489975,-0.132845
"Hyde Park Corner, Hyde Park",,51.503117,-0.15352
"Wardour Street, Soho",,51.512515,-0.133201
"Bankside Mix, Bankside",,51.505817,-0.100186
"Hop Exchange, The Borough",,51.504627,-0.091773
"Milroy Walk, South Bank",,51.507244,-0.106237
"Union Street, The Borough",,51.503688,-0.098497
"Stamford Street, South Bank",,51.505569,-0.111606
"Great Tower Street, Monument",,51.510484,-0.082989
"LMU Commercial Road, Whitechapel",,51.514924,-0.066078
"Dorset Square, Marylebone",,51.522596,-0.161113
"Leman Street, Aldgate",,51.512363,-0.069542
"West Smithfield Rotunda, Farringdon",,51.518218,-0.100791
"Margery Street, Clerkenwell",,51.526599,-0.112432
"New Road 1 , Whitechapel",,51.518154,-0.062697
"Grosvenor Crescent, Belgravia",,51.501352,-0.153194
"Mallory Street, Marylebone",,51.525051,-0.166304
"Denyer Street, Knightsbridge",,51.493583,-0.165101
"Hinde Street, Marylebone",,51.516814,-0.151926
"Cadogan Place, Knightsbridge",,51.494645,-0.158105
"Campden Hill Road, Notting Hill",,51.506584,-0.199004
"Wellington Arch, Hyde Park",,51.50274,-0.149569
"Endsleigh Gardens, Euston",,51.526838,-0.130504
"Moorfields, Moorgate",,51.519069,-0.088285
"Old Brompton Road, South Kensington",,51.490945,-0.18119
"Wormwood Street, Liverpool Street",,51.516154,-0.082422
"St. Luke's Church, Chelsea",,51.489716,-0.170194
"Bramham Gardens, Earl's Court",,51.490163,-0.190393
"Horseferry Road, Westminster",,51.494816,-0.130458
"Knightsbridge, Hyde Park",,51.502757,-0.155349
"Rodney Road , Walworth",,51.491484,-0.09022
"Queensway, Kensington Gardens",,51.51031,-0.187402
"Notting Hill Gate Station, Notting Hill",,51.509353,-0.196422
"Charles II Street, West End",,51.508446,-0.131961
"Great Percy Street, Clerkenwell",,51.528915,-0.11548
"St. James's Square, St. James's",,51.507424,-0.134621
"Whitehall Place, Strand",,51.506543,-0.123179
"Poured Lines, Bankside",,51.506692,-0.103137
"Queen's Gate (Central), South Kensington",,51.493967,-0.178732
"Carey Street, Holborn",,51.51501,-0.112753
"Pall Mall East, West End",,51.50777,-0.130699
"Liverpool Road (N1 Centre), Angel",,51.534504,-0.106992
"Kennington Road  , Vauxhall",,51.495718,-0.110889
"Fashion Street, Whitechapel",,51.51838,-0.073438
"Dock Street, Wapping",,51.509786,-0.068161
"Frampton Street, Paddington",,51.523353,-0.175116
"Warren Street Station, Euston",,51.524438,-0.138019
"Beaumont Street, Marylebone",,51.522008,-0.151359
"Gloucester Street, Pimlico",,51.490962,-0.139625
"Earnshaw Street , Covent Garden",,51.516118,-0.128585
"Grosvenor Road, Pimlico",,51.485357,-0.142207
"Berry Street, Clerkenwell",,51.522853,-0.099994
"St. John's Wood Church, The Regent's Park",,51.530529,-0.167515
"Triangle Car Park, Hyde Park",,51.506451,-0.170279
"Harper Road, The Borough",,51.498597,-0.096191
"Royal Avenue 1, Chelsea",,51.489932,-0.162727
"Brushfield Street, Liverpool Street",,51.518908,-0.079249
"Russell Gardens, Olympia",,51.500088,-0.211316
"Chrisp Street Market, Poplar",,51.5112,-0.014438
"Ford Road, Old Ford",,51.532513,-0.033085
"Antill Road, Mile End",,51.528224,-0.037471
"Teviot Street, Poplar",,51.518811,-0.011662
"Bancroft Road, Bethnal Green",,51.526041,-0.047218
"Driffield Road, Old Ford",,51.534137,-0.037366
"Clinton Road, Mile End",,51.525941,-0.036017
"Langdon Park, Poplar",,51.51549,-0.013475
"Lancaster Gate , Bayswater",,51.511654,-0.179668
"Blythe Road, Olympia",,51.496927,-0.2135
"Lancaster Drive, Blackwall",,51.503143,-0.008428
"Hansard Mews, Holland Park",,51.503802,-0.215808
"Clarges Street, Mayfair",,51.507326,-0.145827
"Manresa Road, Chelsea",,51.486892,-0.170983
"Newby Place, Poplar",,51.508896,-0.012413
"Twig Folly Bridge, Mile End",,51.530326,-0.042744
"Jubilee Plaza, Canary Wharf",,51.50357,-0.020068
"Wellington Row, Bethnal Green",,51.528222,-0.069743
"Goldsmith's Row, Haggerston",,51.531864,-0.066035
"Gloucester Avenue, Camden Town",,51.537349,-0.147154
"Queensbridge Road, Haggerston",,51.53385,-0.06992
"Old Montague Street, Whitechapel",,51.51793,-0.067937
"Naval Row, Blackwall",,51.508981,-0.00699
"Hoxton Station, Hoxton",,51.531091,-0.075901
"Albany Street, The Regent's Park",,51.528302,-0.144466
"Green Park Station, Mayfair",,51.506613,-0.142844
"Salmon Lane, Limehouse",,51.514115,-0.033828
"Lansdowne Walk, Ladbroke Grove",,51.509591,-0.204666
"Percival Street, Finsbury",,51.526153,-0.102208
"Arlington Road, Camden Town",,51.539957,-0.145246
"New Fetter Lane, Holborn",,51.517428,-0.107987
"East India DLR, Blackwall",,51.509474,-0.002275
"Westminster Bridge Road, Elephant & Castle",,51.498386,-0.107913
"Gaywood  Street, Elephant & Castle",,51.49605,-0.104193
"Harford Street, Mile End",,51.521564,-0.039264
"Import Dock, Canary Wharf",,51.505772,-0.01646
"Watney Street, Shadwell",,51.511542,-0.056667
"Regent's Row , Haggerston",,51.535678,-0.062546
"Aberfeldy Street, Poplar",,51.513548,-0.005659
"Heron Quays DLR, Canary Wharf",,51.502661,-0.021596
"King Edward Street, St Pauls",,51.51601,-0.0985
"Page Street, Westminster",,51.493978,-0.127554
"Abbotsbury Road, Holland Park",,51.501391,-0.205991
"Ladbroke Grove Central, Ladbroke Grove",,51.511624,-0.205921
"Rectory Square, Stepney",,51.518369,-0.043371
"Bury Place, Holborn",,51.51746,-0.12335
"Preston's Road, Cubitt Town",,51.499286,-0.009152
"Somerset House, Strand",,51.509943,-0.117619
"Selby Street, Whitechapel",,51.521905,-0.063386
"Westfield Ariel Way, White City",,51.509158,-0.224103
"Bishop's Bridge Road West, Bayswater",,51.51616,-0.18697
"Pitfield Street Central, Hoxton",,51.53213,-0.08299
"Upper Bank Street, Canary Wharf",,51.503083,-0.017676
"Westfield Southern Terrace ,Shepherd's Bush",,51.506256,-0.218337
"Greenland Road, Camden Town",,51.539099,-0.141728
"Limerston Street, West Chelsea",,51.485587,-0.18119
"Eagle Wharf Road, Hoxton",,51.53356,-0.09315
"Alpha Grove, Millwall",,51.497304,-0.022793
"Globe Town Market, Bethnal Green",,51.528869,-0.047548
"Hollybush Gardens, Bethnal Green",,51.527607,-0.057133
"Queen Street 2, Bank",,51.511246,-0.093051
"Doddington Grove, Kennington",,51.486929,-0.102996
"New Cavendish Street, Marylebone",,51.519167,-0.147983
"Abingdon Green, Westminster",,51.49764,-0.125972
"Ilchester Gardens, Bayswater",,51.51244,-0.19096
"Mudchute DLR, Cubitt Town",,51.490645,-0.014582
"Monument Street, Monument",,51.50964,-0.08497
"Hoxton Street, Hoxton",,51.52959,-0.0801
"Drayton Gardens, West Chelsea",,51.487196,-0.179369
"Greenberry Street, St.John's Wood",,51.53256,-0.16862
"Bishop's Bridge Road East, Bayswater",,51.5171,-0.18377
"Northdown Street, King's Cross",,51.531066,-0.11934
"Kingsway Southbound, Strand",,51.513875,-0.117774
"Hammersmith Road, Hammersmith",,51.493267,-0.21985
"Parson's Green , Parson's Green",,51.472817,-0.199783
"Fulham Park Road, Fulham",,51.473471,-0.20782
"Southerton Road, Hammersmith",,51.494499,-0.228188
"Manbre Road, Hammersmith",,51.485743,-0.223616
"South Lambeth Road, Vauxhall",,51.481747,-0.124642
"BBC White City, White City",,51.514767,-0.225787
"Union Grove, Wandsworth Road",,51.472993,-0.133972
"Caldwell Street, Stockwell",,51.477839,-0.116493
"St Martins Close, Camden Town",,51.538792,-0.138535
"Seymour Place, Marylebone",,51.520331,-0.163667
"Addison Road, Holland Park",,51.504199,-0.210941
