Station,name,lat,lon
2315,Rostockgata,59.90691970255054,10.760311802881915
2309,Ulven Torg,59.92503517848644,10.81202182917832
2308,Gunerius,59.91459878869395,10.753398500006654
2307,Domus Athletica,59.946219381760216,10.724626314653563
2306,Økern Portal,59.930903961728745,10.80193969590286
2305,Hesselbergs Gate,59.92774803110845,10.761265771390583
2304,Hedmarksgata,59.91178403655783,10.783884345957915
2280,Klingenberggata,59.913150534075015,10.732281291700133
2270,Lørenporten,59.928710966693274,10.799914801820819
1919,Kværnerveien,59.90591083488326,10.778592132296495
1755,Aker Brygge,59.91118372188379,10.730034556850455
1101,Stortingstunellen,59.91065301806209,10.737365277561025
1023,Professor Aschehougs plass,59.9147672,10.740971
1009,Borgenveien,59.942742106473666,10.703833031254021
970,Enerhaugen,59.91320242563816,10.767579386407874
787,Kirkegata 15,59.91015615055511,10.743456971511705
627,Skøyen Stasjon,59.922723981014094,10.67862514536896
623,7 Juni Plassen,59.9150596,10.7312715
624,Dælenenggata,59.9287502718149,10.767546377298158
626,Drammensveien,59.9204038,10.691147
614,Sinsen T-bane,59.938863086921295,10.780603250331886
616,Salt,59.906922167198275,10.746530272588245
618,Bak Niels Treschows hus sør,59.94247260310697,10.723715245368956
621,Torshovdalen øst,59.93285662158759,10.777633472422016
622,Pilestredet 63,59.9238826,10.7313627
613,Schives gate,59.92095635370271,10.714055629614734
620,Bislettgata,59.92377440938114,10.734712874574
596,Idioten,59.931020132184614,10.736036647971048
617,Bjerregaardsgate Øst,59.92716771401357,10.749754560118863
609,Fred Olsens gate,59.9110506,10.7493737
607,Marcus Thranes gate,59.93277225626508,10.758594919923468
603,Frogner plass,59.9225392,10.7045406
590,Majorstua skole,59.9294351,10.7136816
610,Sotahjørnet,59.9099822,10.7914482
608,Colletts gate,59.93068679863987,10.746273349149249
593,Bjølsen mølle,59.9392403070359,10.768771317790996
530,Holbergs plass,59.9193095,10.7343051
463,Schous plass trikkestopp,59.9207284,10.7594857
475,Hausmanns bru,59.9146509,10.7598719
439,Mølleparken,59.9283928,10.7559693
600,Dyvekes bru,59.905323,10.7689579
440,Lakkegata,59.9172088,10.7622135
612,Ensjøveien,59.91662195885618,10.783309055819714
491,Brugata,59.91366109486603,10.75729364846211
493,Sofienbergparken nordvest,59.9243639,10.7615858
410,Landstads gate,59.929005,10.7496755
605,Økernveien,59.9167376,10.779916
388,Skovveien,59.9163309,10.716349
591,Grenseveien,59.92464487862039,10.781726510450724
592,Badebakken,59.94558091179507,10.760323881579982
585,Nordre gate,59.92114988507087,10.754714015938562
565,Mailundveien,59.9309181,10.7728203
568,Frognerveien,59.9170851,10.7128796
588,Meltzers gate,59.9180141,10.7184345
584,Henrik Wergelands allé,59.9268942,10.7207894
569,Botanisk hage sør-vest,59.91783548782385,10.766373769557958
577,Arkaden Nord,59.9121472,10.7480527
606,Stockfleths gate,59.9339754,10.7521029
564,Oscars gate,59.9224222,10.7272388
570,Frøen T-bane,59.9347352,10.7096985
572,Skøyen,59.92226850808104,10.679579749668129
587,Riddervoldplass,59.9191421,10.7196414
586,Københavngata busstopp,59.9294565845173,10.769121495700826
602,Jarlsborgveien,59.9304645,10.6757833
575,Sognsveien,59.94743324225673,10.732569703704815
567,Forskningsveien,59.945450633702556,10.713867957672134
582,Stavangergata,59.94114763297182,10.750775120272449
595,Skarpsnoparken,59.914871,10.701037
557,Akersgata,59.9141971,10.7428828
542,Grünerhagen Nord,59.9224256,10.7554274
563,Huitfeldts gate,59.9126844,10.7229003
558,Dokkveien,59.910974,10.7277001
552,Trelastgata,59.908004655328924,10.7625700380287
555,Griffenfeldts gate,59.9337026,10.7519299
573,Tordenskiolds gate,59.911776299209265,10.735113005880237
561,Kirkeveien,59.93347989334691,10.726294394131088
615,Munkedamsveien,59.9135227,10.7301061
543,Fyrstikktorget,59.91381587564694,10.798093360118871
554,Tåsen Senter,59.952659,10.751165
574,Annette Thommessens Plass,59.9107393,10.7609998
560,Gaustad T-bane,59.945955,10.710392
548,Colbjørnsens gate,59.91731888534716,10.716909039918278
559,Hoffsveien,59.923898,10.6760339
545,Arkaden Sør,59.9119691,10.7478583
550,Thereses gate,59.9261462,10.7310355
541,Langkaia,59.9080552,10.7479977
527,Biskop Gunnerus' gate,59.9123341,10.752292
529,Friggfeltet,59.9327726,10.7114661
553,Skråninga,59.9139786,10.7474667
549,Linaaes gate,59.91382393242077,10.745704482209018
526,Lille Grensen,59.9138973,10.7423101
537,St. Olavs gate,59.9179676629428,10.738628884264756
547,Skippergata,59.9112227,10.7481976
601,Rolf Wickstrøms vei,59.9534114,10.7577241
533,Sørvest for Slottsparken,59.915262,10.7253157
535,Uranienborgveien,59.9200421,10.726634
524,Volvat,59.9330870371029,10.703967938028702
519,Thomas Heftyes plass,59.918578143336774,10.703899530059402
534,Filipstadveien,59.9102277,10.7208788
521,Jess Carlsens gate,59.9186359,10.7523939
518,Ullevålsveien,59.9246852,10.7395045
556,Pilestredet,59.9262242,10.7296246
525,Myraløkka Øst,59.937205,10.7605813
523,Tøyenbekken,59.9115945,10.7617736
522,Mandalls gate,59.9123469,10.7638147
594,Kampen park Øst,59.915182,10.782129
532,Brynseng T-bane,59.90918420865812,10.81431433498766
509,Kjeld Stubs gate,59.912711,10.735595
531,Monolittveien,59.935947,10.681138
536,Diakonhjemmet,59.9363277,10.7054333
562,Slottsparken Øst,59.917485,10.732128
508,Majorstuen T-bane,59.92985724219502,10.714566236770679
511,Henrik Ibsens gate,59.915088,10.7222803
505,Marienlystparken,59.93215,10.723478
501,Krebs' gate,59.935995,10.765413
514,Sofienberggata,59.9212063,10.7699892
500,Anker Hotel,59.9172794,10.7581553
503,Fagerheimgata,59.927605868377185,10.76598469881135
513,Bøkkerveien,59.9273747,10.7960147
498,HasleLinje,59.92763407981436,10.799249379762283
512,Ensjø T-bane,59.9131891,10.7897605
502,Ullevål sykehus,59.9360307,10.7364516
619,Bak Niels Treschows hus nord,59.942780248542554,10.722993731144015
474,Blindern studentparkering,59.940873733543725,10.720778851520523
